source_file,status,raw_rows,valid_rows,segment_rows,date,time_30min,message
2025-12-08\2025-12-08_14-00-01_batch_60201816A0C6438E8F34314212198685.csv,success,25647,25647,341,2025-12-08,14:00,ok
2025-12-08\2025-12-08_14-30-01_batch_FF5254D53C9447EF85C5864AC0877653.csv,success,25647,25647,341,2025-12-08,14:30,ok
2025-12-08\2025-12-08_16-00-01_batch_9790DBE557D64E53AA3C3A58834E1ECC.csv,success,25649,25649,342,2025-12-08,16:00,ok
2025-12-08\2025-12-08_16-30-01_batch_013E610CD8394D42B9B5B29CEA51D568.csv,success,25647,25647,341,2025-12-08,16:30,ok
2025-12-08\2025-12-08_17-03-23_batch_E82F8E8CDFB64C74B15ABF930000A270.csv,success,25647,25647,341,2025-12-08,17:00,ok
2025-12-08\2025-12-08_17-30-00_batch_520EB520CA144E9DB88BBEDE3CBD595A.csv,success,25647,25647,341,2025-12-08,17:30,ok
2025-12-08\2025-12-08_18-00-01_batch_D1941A4C16BC44ECA107F07A9F589E8C.csv,success,25743,25743,342,2025-12-08,18:00,ok
2025-12-08\2025-12-08_18-33-26_batch_FAE3ADC338EC49E7A898C77D00C62DBE.csv,success,25653,25653,342,2025-12-08,18:30,ok
2025-12-08\2025-12-08_19-03-15_batch_65224F57191A4768831C68F01D0E14E3.csv,success,25647,25647,341,2025-12-08,19:00,ok
2025-12-08\2025-12-08_19-30-01_batch_9E56B58757B24602951E7064258F4F34.csv,success,25647,25647,341,2025-12-08,19:30,ok
2025-12-08\2025-12-08_20-00-01_batch_F4C11B1A5A0E4F77B91C4A8528868150.csv,success,25649,25649,342,2025-12-08,20:00,ok
2025-12-08\2025-12-08_20-30-00_batch_662987EA2BA143DCAC171BC5EB0AE2FC.csv,success,25647,25647,341,2025-12-08,20:30,ok
2025-12-08\2025-12-08_21-00-01_batch_8619061F189B45F7A3F9C12707548376.csv,success,25647,25647,341,2025-12-08,21:00,ok
2025-12-08\2025-12-08_21-30-00_batch_C79AFF15DD5C493C8129BF8110D0AE0C.csv,success,25647,25647,341,2025-12-08,21:30,ok
2025-12-08\2025-12-08_22-00-01_batch_35F275B688B04CC49CF0C7909E1D6E22.csv,success,25647,25647,341,2025-12-08,22:00,ok
2025-12-08\2025-12-08_22-30-00_batch_031FB32106F34B2B8B81E179382927D8.csv,success,25647,25647,341,2025-12-08,22:30,ok
2025-12-08\2025-12-08_23-00-01_batch_1C788ADC17964AE2A59A281AA10554F6.csv,success,25647,25647,341,2025-12-08,23:00,ok
2025-12-08\2025-12-08_23-30-01_batch_FBF99F30FD174D9EAABE362B3BFD8784.csv,success,25647,25647,341,2025-12-08,23:30,ok
2025-12-09\2025-12-09_00-00-01_batch_B08DB53FB5194F15AE5FBC69B1C95D0E.csv,success,25647,25647,341,2025-12-09,00:00,ok
2025-12-09\2025-12-09_10-00-01_batch_89356CEA020D4A0685A8947DEEEFC3E0.csv,success,25647,25647,341,2025-12-09,10:00,ok
2025-12-09\2025-12-09_10-30-01_batch_679E8140C3054F8694ECA4618B5A1506.csv,success,25647,25647,341,2025-12-09,10:30,ok
2025-12-09\2025-12-09_11-03-18_batch_103B98CF04084AD895716C0F60D9876F.csv,success,25647,25647,341,2025-12-09,11:00,ok
2025-12-09\2025-12-09_11-30-01_batch_85E40EC642FD4AA785474785B0A33F6F.csv,success,25647,25647,341,2025-12-09,11:30,ok
2025-12-09\2025-12-09_12-00-01_batch_72D619A1C2044F7AB0886B4B91A9DD47.csv,success,25647,25647,341,2025-12-09,12:00,ok
2025-12-09\2025-12-09_12-33-20_batch_EB0E6F50F1124A86908E3004C60AD471.csv,success,25647,25647,341,2025-12-09,12:30,ok
2025-12-09\2025-12-09_13-03-20_batch_8BD5608079554FC6843A7C4BA60A8419.csv,success,25647,25647,341,2025-12-09,13:00,ok
2025-12-09\2025-12-09_13-33-24_batch_5342790A39C44BDB9F106CA1789DE8BD.csv,success,25647,25647,341,2025-12-09,13:30,ok
2025-12-09\2025-12-09_14-03-28_batch_74CEC1C0C7D94A168AF646C4F2409417.csv,success,25647,25647,341,2025-12-09,14:00,ok
2025-12-09\2025-12-09_14-33-16_batch_27DA0DD554AC40C2A2C30D8BA0B2646F.csv,success,25647,25647,341,2025-12-09,14:30,ok
2025-12-09\2025-12-09_15-00-01_batch_A556C10F3BBB4E7593CA885E32EDD26F.csv,success,25647,25647,341,2025-12-09,15:00,ok
2025-12-09\2025-12-09_15-30-01_batch_5F54680ABFEA4696BF162E2EA4BABE47.csv,success,25647,25647,341,2025-12-09,15:30,ok
2025-12-09\2025-12-09_16-00-01_batch_995637501D4B4D17A39D12E9635A279C.csv,success,25647,25647,341,2025-12-09,16:00,ok
2025-12-09\2025-12-09_16-30-01_batch_9BEFC880C2EC49B2A84555A398534574.csv,success,25647,25647,341,2025-12-09,16:30,ok
2025-12-09\2025-12-09_17-00-00_batch_F9B65FA8ACE446309993223AE7958F28.csv,success,25647,25647,341,2025-12-09,17:00,ok
2025-12-09\2025-12-09_17-30-01_batch_990DA52BFA0C4C0C93DDBAD2370DBEFD.csv,success,25647,25647,341,2025-12-09,17:30,ok
2025-12-09\2025-12-09_18-00-01_batch_70FCDF1A1D764966A9EF9ABF70ADE060.csv,success,25647,25647,341,2025-12-09,18:00,ok
2025-12-09\2025-12-09_18-30-01_batch_6F1D7BBA63584CC394D5A3AB49D3EAF5.csv,success,25647,25647,341,2025-12-09,18:30,ok
2025-12-09\2025-12-09_19-00-01_batch_6E86E9CEF46C4866A66ED7E15CEEEF38.csv,success,25647,25647,341,2025-12-09,19:00,ok
2025-12-09\2025-12-09_19-30-00_batch_B1B196B7BFBB41ADA4467AB74B1D5969.csv,success,25647,25647,341,2025-12-09,19:30,ok
2025-12-09\2025-12-09_20-03-15_batch_133D1A41751E45EB9CB43280F100A85E.csv,success,25647,25647,341,2025-12-09,20:00,ok
2025-12-09\2025-12-09_20-33-30_batch_9B89A021CED14AB88ABCCC713CA8A804.csv,success,25647,25647,341,2025-12-09,20:30,ok
2025-12-09\2025-12-09_21-00-01_batch_E3A51A9E41C6479E8A808A672094FD9F.csv,success,25647,25647,341,2025-12-09,21:00,ok
2025-12-09\2025-12-09_21-33-15_batch_28CF8BFB65904007A24682000B6CBDD9.csv,success,25647,25647,341,2025-12-09,21:30,ok
2025-12-09\2025-12-09_22-03-12_batch_94F80C1D368F461A956A413028DB5459.csv,success,25647,25647,341,2025-12-09,22:00,ok
2025-12-09\2025-12-09_22-33-15_batch_057D7263824D429D8C1A1F2F6D6BB9F1.csv,success,25647,25647,341,2025-12-09,22:30,ok
2025-12-09\2025-12-09_23-00-01_batch_8B0DA2032F224421AD83E7F97BA41B9A.csv,success,25647,25647,341,2025-12-09,23:00,ok
2025-12-09\2025-12-09_23-30-01_batch_EB748E5E295F47ED9A34FD2FC4077A5D.csv,success,25647,25647,341,2025-12-09,23:30,ok
2025-12-10\2025-12-10_00-00-01_batch_B157559356D5412C98F7BD127C3C2E7C.csv,success,25647,25647,341,2025-12-10,00:00,ok
